RK,WSID,Player Name,POS,AGE,BEST,WORST,AVG.,STD.DEV,ECR VS. ADP
61,,Terry McLaurin (WAS),WR25,29,43,81,62.3,9.9,-
62,,Kenneth Walker III (SEA),RB15,24,43,81,62.5,9.5,-
Tier 7,,Customize Tiers,,,,,,,
63,,Jaylen Waddle (MIA),WR26,26,47,99,64.4,11.6,-
64,,Michael Penix Jr. (ATL),QB20,25,27,94,65.5,16.8,-
65,,Xavier Worthy (KC),WR27,22,47,100,66.8,12.5,-
66,,George Kittle (SF),TE4,31,45,109,67.3,14.3,-
67,,Derrick Henry (BAL),RB16,31,23,90,69.4,16.4,-
68,,Cameron Ward (TEN),QB21,23,44,150,69.4,22.1,-
69,,Christian McCaffrey (SF),RB17,29,37,88,69.6,11.6,-
70,,T.J. Hockenson (MIN),TE5,28,59,113,70.2,12.2,-
71,,Jameson Williams (DET),WR28,24,55,87,70.8,9.6,-
72,,Chris Olave (NO),WR29,25,41,108,71.1,15.6,-
73,,Quinshon Judkins (CLE),RB18,21,45,157,71.7,24.4,-
74,,Bryce Young (CAR),QB22,23,46,116,74.2,15.2,-
75,,Emeka Egbuka (TB),WR30,22,44,119,74.3,17.3,-
76,,Justin Fields (NYJ),QB23,26,37,108,77.4,18.2,-
77,,Tyler Warren (IND),TE6,23,61,122,78.0,13.0,-
78,,Tua Tagovailoa (MIA),QB24,27,38,111,80.1,15.5,-
79,,George Pickens (DAL),WR31,24,55,107,80.8,13.5,-
80,,Colston Loveland (CHI),TE7,21,62,156,81.1,19.5,-
81,,Tyreek Hill (MIA),WR32,31,48,100,81.4,12.3,-
Tier 8,,Customize Tiers,,,,,,,
82,,Mike Evans (TB),WR33,31,42,112,85.6,16.1,-
83,,Davante Adams (LAR),WR34,32,47,116,85.8,19.4,-
84,,Chuba Hubbard (CAR),RB19,26,64,108,86.3,11.2,-
85,,Brandon Aiyuk (SF),WR35,27,52,112,86.9,13.1,-
86,,RJ Harvey (DEN),RB20,24,59,172,87.4,22.5,-
87,,Jerry Jeudy (CLE),WR36,26,70,108,87.8,10.7,-
88,,Mark Andrews (BAL),TE8,29,61,139,90.0,22.1,-
89,,David Montgomery (DET),RB21,28,72,107,90.5,9.0,-
90,,David Njoku (CLE),TE9,28,73,129,90.8,14.9,-
91,,Tucker Kraft (GB),TE10,24,65,142,92.5,19.8,-
92,,Joe Mixon (HOU),RB22,28,67,112,92.8,12.6,-
93,,Kaleb Johnson (PIT),RB23,21,65,261,92.8,37.5,-
94,,Sam Darnold (SEA),QB25,28,69,127,93.3,12.9,-
95,,Luther Burden III (CHI),WR37,21,66,127,97.2,15.5,-
96,,Chris Godwin (TB),WR38,29,77,117,99.3,9.6,-
97,,Alvin Kamara (NO),RB24,29,80,152,101.2,13.2,-
98,,Geno Smith (LV),QB26,34,70,145,102.1,17.7,-
99,,Ricky Pearsall (SF),WR39,24,73,133,102.2,13.9,-
100,,Dalton Kincaid (BUF),TE11,25,78,148,102.4,18.7,-
101,,Jayden Reed (GB),WR40,25,83,144,103.8,15.9,-
102,,Matthew Stafford (LAR),QB27,37,64,138,104.6,17.1,-
103,,Josh Downs (IND),WR41,23,86,125,105.4,8.9,-
104,,Courtland Sutton (DEN),WR42,29,58,131,106.0,19.1,-
105,,Khalil Shakir (BUF),WR43,25,73,137,107.7,13.9,-
Tier 9,,Customize Tiers,,,,,,,
106,,Evan Engram (DEN),TE12,30,85,158,110.2,20.0,-
107,,Brian Robinson Jr. (WAS),RB25,26,86,129,110.7,9.7,-
108,,Michael Pittman Jr. (IND),WR44,27,94,133,111.3,8.4,-
109,,James Conner (ARI),RB26,30,58,144,112.0,20.1,-
110,,Tony Pollard (TEN),RB27,28,76,131,112.1,13.0,-
111,,Isiah Pacheco (KC),RB28,26,87,138,112.9,12.1,-
112,,Anthony Richardson Sr. (IND),QB28,23,72,177,104.6,25.5,-
113,,D'Andre Swift (CHI),RB29,26,99,142,115.6,11.7,-
114,,Calvin Ridley (TEN),WR45,30,96,134,117.5,8.6,-
115,,Jayden Higgins (HOU),WR46,22,80,274,117.6,36.1,-
116,,Tre Harris (LAC),WR47,23,79,227,118.2,32.8,-
117,,Matthew Golden (GB),WR48,21,73,273,109.4,41.9,-
118,,Tyrone Tracy Jr. (NYG),RB30,25,88,150,119.0,18.4,-
119,,Kyle Pitts (ATL),TE13,24,89,169,120.2,19.5,-
120,,Travis Kelce (KC),TE14,35,82,152,121.5,17.6,-
121,,Jauan Jennings (SF),WR49,27,96,160,121.6,14.4,-
122,,Deebo Samuel Sr. (WAS),WR50,29,98,158,122.3,15.7,-
123,,Jonnu Smith (PIT),TE15,29,73,166,124.6,18.5,-
124,,Jakobi Meyers (LV),WR51,28,112,152,125.8,8.9,-
125,,Keon Coleman (BUF),WR52,22,87,173,126.4,19.4,-
126,,Aaron Jones Sr. (MIN),RB31,30,98,163,126.6,17.5,-
127,,Jalen McMillan (TB),WR53,23,98,189,129.8,19.3,-
128,,Travis Etienne Jr. (JAC),RB32,26,102,156,132.2,16.7,-
129,,Najee Harris (LAC),RB33,27,101,155,133.2,15.6,-
